classe;caderno;grupo;codigo_cc;descricao;unid;nova;codins;insumo;unidins;tipo_insumo;nome_obra;id_ccoi_elemento;id_appropriation_composition;app_inicio;app_fim;qntd;qs;data;qntd_acum;qs_acum;ip_d;ip_acum;elemento
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3414;22765;2021-05-25 07:00:00 UTC;2021-05-25 13:30:00 UTC;2;30,52;2021-05-25 10:15:00 UTC;17,34;562,7;0,065530799;0,03081571;5
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;14024;PRIMER PARA VERNIZ ANTI-PICHAÇÃO;L;MATERIAL;;3416;22766;2021-05-25 07:00:00 UTC;2021-05-25 13:30:00 UTC;9;30,52;2021-05-25 10:15:00 UTC;90;300,85;0,294888598;0,299152402;3
TELA DEPLOYER;EDIF;VEDOS;04-01-80;TELA TIPO DEPLOYEE PARA REFORÇO DE ALVENARIA;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;2449;22885;2021-05-25 08:50:00 UTC;2021-05-25 14:24:00 UTC;4,57;0,9;2021-05-25 11:37:00 UTC;17,77;3,22;5,077777778;5,51863354;6
CONCRETO GROUT;EDIF;VEDOS;04-01-97;"CONCRETO ""GROUT""";M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;2174;22867;2021-05-25 13:00:00 UTC;2021-05-25 13:35:00 UTC;0,58;0,033;2021-05-25 13:17:30 UTC;1;0,071;17,57575758;14,08450704;2
ESMALTE SINTÉTICO PARA ESQUADRIAS;EDIF;PINTURA;15-03-10;ESMALTE SINTÉTICO - ESQUADRIAS E PEÇAS DE SERRALHERIA;M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3483;22862;2021-05-25 13:30:00 UTC;2021-05-25 15:00:00 UTC;1,5;10,95;2021-05-25 14:15:00 UTC;27,33333333;112,9;0,136986301;0,242102155;6
ESCAVAÇÃO MECANIZADA 1;INFRA;MOVIMENTO DE TERRA;04-04-00;ESCAVAÇÃO MECÂNICA PARA FUNDAÇÕES E VALAS COM PROFUNDIDADE MENOR OU IGUAL À 4,0M;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;7728;22790;2021-05-25 09:10:00 UTC;2021-05-26 12:30:00 UTC;11,33;168,78;2021-05-25 22:50:00 UTC;223,4;4151,36;0,067128807;0,05381369;21
ESCAVAÇÃO MECANIZADA 1;INFRA;MOVIMENTO DE TERRA;04-04-00;ESCAVAÇÃO MECÂNICA PARA FUNDAÇÕES E VALAS COM PROFUNDIDADE MENOR OU IGUAL À 4,0M;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;7729;22792;2021-05-25 09:10:00 UTC;2021-05-26 12:30:00 UTC;17,83;168,78;2021-05-25 22:50:00 UTC;241,23;4320,14;0,105640479;0,055838468;22
ESCAVAÇÃO MECANIZADA 1;INFRA;MOVIMENTO DE TERRA;04-04-00;ESCAVAÇÃO MECÂNICA PARA FUNDAÇÕES E VALAS COM PROFUNDIDADE MENOR OU IGUAL À 4,0M;M3;0;;ESCAVADEIRA HIDRÁULICA;H;EQUIPAMENTO;;7730;22791;2021-05-25 09:10:00 UTC;2021-05-26 12:30:00 UTC;11,33;168,78;2021-05-25 22:50:00 UTC;116;2630,69;0,067128807;0,044094895;13
TELA DEPLOYER;EDIF;VEDOS;04-01-80;TELA TIPO DEPLOYEE PARA REFORÇO DE ALVENARIA;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;2450;23014;2021-05-26 07:30:00 UTC;2021-05-26 12:00:00 UTC;4,5;0,6;2021-05-26 09:45:00 UTC;22,27;3,82;7,5;5,829842932;7
TELA DEPLOYER;EDIF;VEDOS;04-01-80;TELA TIPO DEPLOYEE PARA REFORÇO DE ALVENARIA;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;2457;23018;2021-05-26 07:30:00 UTC;2021-05-26 13:20:00 UTC;4,83;0,6;2021-05-26 10:25:00 UTC;27,1;4,42;8,05;6,131221719;8
ELETRODUTO 2;EDIF;INSTALACOES ELETRICAS;09-02-55;"ELETRODUTO DE PVC CORRUGADO REFORÇADO, ANTICHAMA - 25MM (3/4"")";M;0;2041;ELETRICISTA (SGSP);H;MAO DE OBRA;;2274;23023;2021-05-26 08:55:00 UTC;2021-05-26 12:00:00 UTC;6,17;28,4;2021-05-26 10:27:30 UTC;12,84;53,58;0,217253521;0,239641657;4
CONCRETO GROUT;EDIF;VEDOS;04-01-97;"CONCRETO ""GROUT""";M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;2176;23044;2021-05-26 10:50:00 UTC;2021-05-26 11:10:00 UTC;0,33;0,078;2021-05-26 11:00:00 UTC;1,33;0,149;4,230769231;8,926174497;3
LIMPEZA COM ESCOVA DE AÇO;EDIF;ESTRUTURA;03-40-18;LIMPEZA DE CONCRETO E ARMADURA COM ESCOVA DE AÇO;M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3543;23051;2021-05-26 11:20:00 UTC;2021-05-26 11:23:00 UTC;0,05;0,133;2021-05-26 11:21:30 UTC;25,6;21,543;0,37593985;1,188321032;6
TRATAMENTO COM INIBIDOR OXIDANTE;EDIF;ESTRUTURA;03-40-22;TRATAMENTO DE ARMADURA COM APLICAÇÃO DE PRODUTO INIBIDOR OXIDANTE;M;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3556;23047;2021-05-26 11:23:00 UTC;2021-05-26 11:24:00 UTC;0,016666667;1,17;2021-05-26 11:23:30 UTC;24,35;187,81;0,014245014;0,129652308;7
TRATAMENTO COM INIBIDOR OXIDANTE;EDIF;ESTRUTURA;03-40-22;TRATAMENTO DE ARMADURA COM APLICAÇÃO DE PRODUTO INIBIDOR OXIDANTE;M;0;;PROTETOR DE ARMADURA;KG;MATERIAL;;3557;23048;2021-05-26 11:23:00 UTC;2021-05-26 11:24:00 UTC;0,25;1,17;2021-05-26 11:23:30 UTC;6,1;187,81;0,213675214;0,032479634;7
PISO PODOTÁTIL;EDIF;PISOS;13-02-47;PISO PODOTÁTIL, ALERTA OU DIRECIONAL, EM LADRILHO HIDRÁULICO;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;7466;22950;2021-05-26 06:00:00 UTC;2021-05-26 17:00:00 UTC;14;15,72;2021-05-26 11:30:00 UTC;145,45;172,62;0,890585242;0,842602248;14
PISO PODOTÁTIL;EDIF;PISOS;13-02-47;PISO PODOTÁTIL, ALERTA OU DIRECIONAL, EM LADRILHO HIDRÁULICO;M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;7465;22949;2021-05-26 06:00:00 UTC;2021-05-26 17:00:00 UTC;14;15,72;2021-05-26 11:30:00 UTC;99,013;172,62;0,890585242;0,573589387;14
GRAUTE;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-08-02;GRAUTE - FORNECIMENTO, PREPARO E APLICAÇÃO;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;3523;23100;2021-05-26 11:25:00 UTC;2021-05-26 14:00:00 UTC;0,74;0,59;2021-05-26 12:42:30 UTC;66,07;1,083;1,254237288;61,00646353;9
GRAUTE;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-08-02;GRAUTE - FORNECIMENTO, PREPARO E APLICAÇÃO;M3;0;;REPARO ESTRUTURAL;KG;MATERIAL;;3525;23103;2021-05-26 11:25:00 UTC;2021-05-26 14:00:00 UTC;21,87;0,59;2021-05-26 12:42:30 UTC;341,87;0,663;37,06779661;515,6410256;3
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3421;22979;2021-05-26 09:30:00 UTC;2021-05-26 16:47:00 UTC;0,78;94,84;2021-05-26 13:08:30 UTC;18,12;657,54;0,008224378;0,027557259;6
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2075;PINTOR (SGSP);H;MAO DE OBRA;;3419;22978;2021-05-26 09:30:00 UTC;2021-05-26 16:47:00 UTC;5,79;94,84;2021-05-26 13:08:30 UTC;8,79;358,84;0,06105019;0,024495597;3
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;14024;PRIMER PARA VERNIZ ANTI-PICHAÇÃO;L;MATERIAL;;3423;22980;2021-05-26 09:30:00 UTC;2021-05-26 16:47:00 UTC;36;94,84;2021-05-26 13:08:30 UTC;126;395,69;0,379586672;0,318431095;4
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3422;22979;2021-05-26 09:30:00 UTC;2021-05-26 16:47:00 UTC;0,78;94,84;2021-05-26 13:08:30 UTC;18,12;657,54;0,008224378;0,027557259;6
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2075;PINTOR (SGSP);H;MAO DE OBRA;;3420;22978;2021-05-26 09:30:00 UTC;2021-05-26 16:47:00 UTC;5,79;94,84;2021-05-26 13:08:30 UTC;8,79;358,84;0,06105019;0,024495597;3
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;14024;PRIMER PARA VERNIZ ANTI-PICHAÇÃO;L;MATERIAL;;3424;22980;2021-05-26 09:30:00 UTC;2021-05-26 16:47:00 UTC;36;94,84;2021-05-26 13:08:30 UTC;126;395,69;0,379586672;0,318431095;4
TELA DEPLOYER;EDIF;VEDOS;04-01-80;TELA TIPO DEPLOYEE PARA REFORÇO DE ALVENARIA;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;2466;23086;2021-05-26 13:00:00 UTC;2021-05-26 14:30:00 UTC;1,5;0,7;2021-05-26 13:45:00 UTC;28,6;5,12;2,142857143;5,5859375;9
CAIXA DE PVC 10X5;EDIF;INSTALACOES ELETRICAS;09-05-22;CAIXA DE PVC 10X5X5CM, INCLUSIVE ESPELHO;UN;0;2041;ELETRICISTA (SGSP);H;MAO DE OBRA;;2097;23079;2021-05-26 13:00:00 UTC;2021-05-26 15:00:00 UTC;4;10;2021-05-26 14:00:00 UTC;17,49;75;0,4;0,2332;6
TELA DEPLOYER;EDIF;VEDOS;04-01-80;TELA TIPO DEPLOYEE PARA REFORÇO DE ALVENARIA;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;2462;23089;2021-05-26 13:30:00 UTC;2021-05-26 14:30:00 UTC;1;0,4;2021-05-26 14:00:00 UTC;29,6;5,52;2,5;5,362318841;10
TUBO DE ESGOTO 4;EDIF;INST.HIDRO-SANITARIAS;10-09-33;"TUBO DE PVC RÍGIDO, PONTA E BOLSA (LINHA ESGOTO) - 100MM (4"")";M;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1676;23446;2021-05-27 07:00:00 UTC;2021-05-27 09:30:00 UTC;2,5;36;2021-05-27 08:15:00 UTC;4;41;0,069444444;0,097560976;2
TUBO DE ESGOTO 4;EDIF;INST.HIDRO-SANITARIAS;10-09-33;"TUBO DE PVC RÍGIDO, PONTA E BOLSA (LINHA ESGOTO) - 100MM (4"")";M;0;2035;ENCANADOR (SGSP);H;MAO DE OBRA;;1675;23445;2021-05-27 07:00:00 UTC;2021-05-27 09:30:00 UTC;2,5;36;2021-05-27 08:15:00 UTC;4;41;0,069444444;0,097560976;2
ELETRODUTO 2;EDIF;INSTALACOES ELETRICAS;09-02-55;"ELETRODUTO DE PVC CORRUGADO REFORÇADO, ANTICHAMA - 25MM (3/4"")";M;0;2041;ELETRICISTA (SGSP);H;MAO DE OBRA;;2278;23204;2021-05-27 07:00:00 UTC;2021-05-27 11:30:00 UTC;4,5;8,4;2021-05-27 09:15:00 UTC;17,34;61,98;0,535714286;0,279767667;5
TELA DEPLOYER;EDIF;VEDOS;04-01-80;TELA TIPO DEPLOYEE PARA REFORÇO DE ALVENARIA;M2;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;2470;23136;2021-05-27 07:00:00 UTC;2021-05-27 11:50:00 UTC;4,83;1,14;2021-05-27 09:25:00 UTC;34,43;6,66;4,236842105;5,16966967;11
TUBO DE ESGOTO 3;EDIF;INST.HIDRO-SANITARIAS;10-09-32;"TUBO DE PVC RÍGIDO, PONTA E BOLSA (LINHA ESGOTO) - 75MM (3"")";M;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1738;23464;2021-05-27 09:30:00 UTC;2021-05-27 12:00:00 UTC;2,5;36;2021-05-27 10:45:00 UTC;3,5;40;0,069444444;0,0875;2
TUBO DE ESGOTO 3;EDIF;INST.HIDRO-SANITARIAS;10-09-32;"TUBO DE PVC RÍGIDO, PONTA E BOLSA (LINHA ESGOTO) - 75MM (3"")";M;0;2035;ENCANADOR (SGSP);H;MAO DE OBRA;;1737;23463;2021-05-27 09:30:00 UTC;2021-05-27 12:00:00 UTC;2,5;36;2021-05-27 10:45:00 UTC;3,5;40;0,069444444;0,0875;2
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3429;23113;2021-05-27 08:00:00 UTC;2021-05-27 14:19:00 UTC;4,25;101,043;2021-05-27 11:09:30 UTC;22,37;758,583;0,042061301;0,029489192;7
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;14024;PRIMER PARA VERNIZ ANTI-PICHAÇÃO;L;MATERIAL;;3431;23114;2021-05-27 08:00:00 UTC;2021-05-27 14:19:00 UTC;34,23;101,043;2021-05-27 11:09:30 UTC;160,23;496,733;0,338766664;0,322567657;5
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;3430;23113;2021-05-27 08:00:00 UTC;2021-05-27 14:19:00 UTC;4,25;101,043;2021-05-27 11:09:30 UTC;22,37;758,583;0,042061301;0,029489192;7
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;14024;PRIMER PARA VERNIZ ANTI-PICHAÇÃO;L;MATERIAL;;3432;23114;2021-05-27 08:00:00 UTC;2021-05-27 14:19:00 UTC;34,23;101,043;2021-05-27 11:09:30 UTC;160,23;496,733;0,338766664;0,322567657;5
CONCRETO BOMBEÁVEL;EDIF;ESTRUTURA;03-03-18;CONCRETO FCK = 25,0MPA - USINADO E BOMBEÁVEL;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1452;23413;2021-05-27 08:00:00 UTC;2021-05-27 14:30:00 UTC;26;46,5;2021-05-27 11:15:00 UTC;161,296;394,82;0,559139785;0,40853047;8
CONCRETO BOMBEÁVEL;EDIF;ESTRUTURA;03-03-18;CONCRETO FCK = 25,0MPA - USINADO E BOMBEÁVEL;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1451;23428;2021-05-27 08:00:00 UTC;2021-05-27 14:30:00 UTC;13;46,5;2021-05-27 11:15:00 UTC;174,296;441,32;0,279569892;0,394942445;9
CONCRETO BOMBEÁVEL;EDIF;ESTRUTURA;03-03-18;CONCRETO FCK = 25,0MPA - USINADO E BOMBEÁVEL;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1453;23414;2021-05-27 08:00:00 UTC;2021-05-27 14:30:00 UTC;39;46,5;2021-05-27 11:15:00 UTC;187,459;292,66;0,838709677;0,640535092;6
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2075;PINTOR (SGSP);H;MAO DE OBRA;;3435;23119;2021-05-27 09:00:00 UTC;2021-05-27 14:19:00 UTC;3,983333333;132,83;2021-05-27 11:39:30 UTC;12,77333333;491,67;0,029988205;0,025979485;4
VERNIZ ANTI-PICHAÇÃO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-25-03;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;37587;VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE INCOLOR (SOLÚVEL EM SOLVENTE);L;MATERIAL;;3433;23118;2021-05-27 09:00:00 UTC;2021-05-27 14:19:00 UTC;14,4;132,83;2021-05-27 11:39:30 UTC;50,4;496,16;0,108409245;0,101580135;4
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;2075;PINTOR (SGSP);H;MAO DE OBRA;;3436;23119;2021-05-27 09:00:00 UTC;2021-05-27 14:19:00 UTC;3,983333333;132,83;2021-05-27 11:39:30 UTC;12,77333333;491,67;0,029988205;0,025979485;4
VERNIZ ANTI-PICHAÇÃO;EDIF;PINTURA;15-01-77;APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO);M2;0;37587;VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE INCOLOR (SOLÚVEL EM SOLVENTE);L;MATERIAL;;3434;23118;2021-05-27 09:00:00 UTC;2021-05-27 14:19:00 UTC;14,4;132,83;2021-05-27 11:39:30 UTC;50,4;496,16;0,108409245;0,101580135;4
ELETRODUTO 2;EDIF;INSTALACOES ELETRICAS;09-02-55;"ELETRODUTO DE PVC CORRUGADO REFORÇADO, ANTICHAMA - 25MM (3/4"")";M;0;2041;ELETRICISTA (SGSP);H;MAO DE OBRA;;2277;23141;2021-05-27 09:40:00 UTC;2021-05-27 14:00:00 UTC;3,17;9,9;2021-05-27 11:50:00 UTC;20,51;71,88;0,32020202;0,285336672;6
CAIXA DE PVC 10X5;EDIF;INSTALACOES ELETRICAS;09-05-22;CAIXA DE PVC 10X5X5CM, INCLUSIVE ESPELHO;UN;0;2041;ELETRICISTA (SGSP);H;MAO DE OBRA;;2098;23139;2021-05-27 09:20:00 UTC;2021-05-27 14:40:00 UTC;4,17;21;2021-05-27 12:00:00 UTC;21,66;96;0,198571429;0,225625;7
